"Rowid_","VALUE_","COUNT_","AREA","MIN_","MAX_","RANGE","MEAN","STD","SUM_"
,65,58,58000000.000000,5.637241,5.637241,0.000000,5.637241,0.000000,326.959991
,66,58,58000000.000000,9.342312,9.342312,0.000000,9.342312,0.000000,541.854125
,67,58,58000000.000000,13.306513,13.306513,0.000000,13.306513,0.000000,771.777770
,68,58,58000000.000000,21.557092,21.557092,0.000000,21.557092,0.000000,1250.311401
,69,58,58000000.000000,249.305007,249.305007,0.000000,249.305007,0.000000,14459.690429
,70,58,58000000.000000,54.208515,54.208515,0.000000,54.208515,0.000000,3144.093994
,71,59,59000000.000000,81.133506,81.133506,0.000000,81.133506,0.000000,4786.876953
,72,58,58000000.000000,33.650650,33.650650,0.000000,33.650650,0.000000,1951.737670
,73,59,59000000.000000,40.848499,40.848499,0.000000,40.848499,0.000000,2410.061523
,74,59,59000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,205.489929
,75,59,59000000.000000,6.226454,6.226454,0.000000,6.226454,0.000000,367.360809
,76,59,59000000.000000,12.160599,12.160599,0.000000,12.160599,0.000000,717.475402
,77,59,59000000.000000,12.160599,12.160599,0.000000,12.160599,0.000000,717.475402
,78,57,57000000.000000,20.700489,20.700489,0.000000,20.700489,0.000000,1179.927856
,79,64,64000000.000000,60.007148,60.007148,0.000000,60.007148,0.000000,3840.457519
,80,65,65000000.000000,161.195114,161.195114,0.000000,161.195114,0.000000,10477.682617
,81,64,64000000.000000,29.433162,29.433162,0.000000,29.433162,0.000000,1883.722412
,82,60,60000000.000000,40.848499,40.848499,0.000000,40.848499,0.000000,2450.909912
,83,58,58000000.000000,16.367576,16.367576,0.000000,16.367576,0.000000,949.319458
,84,60,60000000.000000,3.530210,3.530210,0.000000,3.530210,0.000000,211.812637
,85,59,59000000.000000,10.181657,10.181657,0.000000,10.181657,0.000000,600.717834
,86,59,59000000.000000,12.160599,12.160599,0.000000,12.160599,0.000000,717.475402
,87,58,58000000.000000,17.029628,17.029628,0.000000,17.029628,0.000000,987.718444
,88,59,59000000.000000,15.419699,15.419699,0.000000,15.419699,0.000000,909.762268
,89,63,63000000.000000,66.209403,66.209403,0.000000,66.209403,0.000000,4171.192382
,90,63,63000000.000000,70.500343,70.500343,0.000000,70.500343,0.000000,4441.521484
,91,62,62000000.000000,40.848499,40.848499,0.000000,40.848499,0.000000,2532.606933
,92,63,63000000.000000,38.476078,38.476078,0.000000,38.476078,0.000000,2423.992919
,93,63,63000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,219.421447
,94,62,62000000.000000,4.673780,4.673780,0.000000,4.673780,0.000000,289.774414
,95,63,63000000.000000,11.975270,11.975270,0.000000,11.975270,0.000000,754.442016
,96,63,63000000.000000,12.160599,12.160599,0.000000,12.160599,0.000000,766.117797
,97,64,64000000.000000,14.554000,14.554000,0.000000,14.554000,0.000000,931.456054
,98,59,59000000.000000,36.749298,36.749298,0.000000,36.749298,0.000000,2168.208496
,99,59,59000000.000000,61.661659,61.661659,0.000000,61.661659,0.000000,3638.037841
,100,59,59000000.000000,40.848499,40.848499,0.000000,40.848499,0.000000,2410.061523
,101,64,64000000.000000,40.848499,40.848499,0.000000,40.848499,0.000000,2614.303955
,102,65,65000000.000000,4.057735,4.057735,0.000000,4.057735,0.000000,263.752838
,103,64,64000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,222.904327
,104,64,64000000.000000,6.100857,6.100857,0.000000,6.100857,0.000000,390.454895
,105,64,64000000.000000,12.160599,12.160599,0.000000,12.160599,0.000000,778.278381
,106,64,64000000.000000,12.160599,12.160599,0.000000,12.160599,0.000000,778.278381
,107,63,63000000.000000,15.419699,15.419699,0.000000,15.419699,0.000000,971.441101
,108,59,59000000.000000,48.143867,48.143867,0.000000,48.143867,0.000000,2840.488281
,109,59,59000000.000000,37.681922,37.681922,0.000000,37.681922,0.000000,2223.233398
,110,58,58000000.000000,40.848499,40.848499,0.000000,40.848499,0.000000,2369.212890
,111,59,59000000.000000,38.315235,38.315235,0.000000,38.315235,0.000000,2260.598876
,112,58,58000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,202.007049
,113,58,58000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,202.007049
